index,MORGAN_BTSR
69,10000000000001001000000000000110010000010000010000001001010010000110000011100110010100111001000100001100011100000100001001100000
70,10100000101000000011000010010001110001010000000100000001100010011100000001010100010000100010001000001000000100000000010101100100
71,10000100111010000000100010000101010000110100000110001100001100011000100000010100111000100001001000101000000100100100000000000100
72,10111000011000000000100000010111010001110100110000001000001000000000100000100000110000100001001000101010000100010100010100110100
73,11101000001101000010000000010010010000010000001000001001010000011010100011000010010000100100001010001000000010010100000000000100
74,10001000001100001000000000000010000000000000000100000010010000011010101000010000010000100000001000101001100100010100001001000001
75,11000100011000001000000000010001010000011101010100000000001000001000000000010000110001100001000000101001000100001000110000000100
76,00000100001110010101100000100000100000111001000100000000000000011001101010110000110000100100101000001000001100000100000000100100
77,10000000001000001011000010011001010000010101001111000000001000000000000010010000110001101000000001101001000100010000110000000100
78,11000100111000000000100000000100010001110110000110001000000100001000110000000100111000100011001000101000000000100100000000000111
79,10000101011010000000100010001100110000110100000100001000000001001010110010000000110000100000001000011000000000000100000011000100
80,11000100111010000000100010000000111100110011010100000000000001001000000000000000110101100100000001001100000000100010000010111100
81,11000100111010000000000010010000111100010011000100100001000001001010000010000000110000100000000001001100000000100010010010110100
82,10000100001001000000001000000100011100010000100100101001000000001110001001000010111010100000011000001000110100001000000100000100
83,11000000100100100000001100010100011010100000001000110000100001010000000010000000100001000000000100101000100000000110000000101000
84,10000110001001111101000000000101010000010000000000100011001000001101010101000000110000101010001101101000000100100000000001000111
85,00001010101110011001000100011010011000010000010010001110001110001010100000000001110000110000010000001010010101010000000011010101
86,10000010001011010001000010000000010001010000000101000011101100011010000011001010110001101000001001101000110100000000000001000100
87,10000000001000100001010001001001010100010001000000000110000100101000000010010001010001101001000010001011010000000100100000000101
88,10001000001000101000000000001001010000010000000000000110101000100001100110110010010001100100010010001010000100000100000000100101
89,10001000001000001000000000101000010000010000000000100011001000100101100111010010010001000100010010001010000100000100100001000100
90,10001100100000000001110000001000000000110001101111010000000000011000000000000000110010101000000010011000010100000000101000100000
91,10111000001000000101000000000010000000010110110000100101000000001101000000100100110010100001000000101000010000000110000100110101
92,10010000101100001001000010000010000000110000000011000010111100010000010100010001010000100000000100101010000100110100000000010101
93,11100000001000000000000001000001010000110000011110000001001000101001000101000000010000101010010110001100010100010000001000010000
94,00100100001000000001000100000000000000010000100101100011000001001000010110100010110010100000000101001000010000100000000010000100
95,10101100001100000000000001000111010000010001000100001000001100001100000010100000010100100000110000001000000100100000010000110001
96,10010100001000000000000001011010010000010101100100110111001000111011001000011000110011100000000110101010000100010100000000000100
97,10111100001100001100000000000010110001011100110100000001000001001000000101000100110000100000010100101000000000000000000100111100
98,10111000001000000000000000000111010100010100110000100001001000001000000000001000111010100000000000101000000100010000001100111100
99,11010000111100000010100000010010010000010000010000001000100000001000100010000000010000100000001001101010010000000100000100010100
100,11010000011000100000010000010011110000010001010000000000001001000000000000000000010000100000000000111001000100000000100100010100
101,11000000001001010001000010010000010101010000000001100011000001011010010001000010110000101010000000001000000101100000010000000111
102,01000000000000000011000011010010011010010010100001000000011100010010000100100000000110011000000100101000110000010000000000100000
103,00100110001000101001001111100001010000110000000100100010111000001001000000000000110000100110000001001001000010010110000000100000
104,00000000001000111000000000010000010001000000000101010100001010011000100100000101010000100001000000001000110100011000000000101000
105,10100000001000001010001000000001011000000000001111100011111010001101100001000100011001100000001001001010100100001000110001000000
106,00001000000000001010000001000010111101001011100000010010001000111001000001100000010000000001100000001101010100011000100000101001
107,11000000100010100011000000001000011110010000000101100100001010001101000000101010010000101000000010001000000001101000000000100101
108,10001000001000011000000001101011001000010000010100001110000010011000110000000000110000100010000000101010010100010000000110010100
109,00001100000010100010010000001000011110011000110100100000000000101101000001100000111011100000000101001100100101000000000000110101
110,11100010100010100011000000001000011110010000000000100100001100001101000000100000010000100010000010001000001001001000000000100101
111,00000000000100010000000000000010000100000001000000000000010100001000000000000001010000100001000000001000001100000000000000000000
112,00100010101010000001010000100010010000010000000001000100001100000000000000010000010000100010001000001000010000110000000000000000
113,11000000001000000100000000110001110000110000000000000000001000000000000000000010110000100000000000111010010100000000010000000101
114,11000000001000000101000000110000110011110000001011000000010000000001000100000000110000101000000000111010000100100000010000010101
115,10011000001000110000000000010011010000010000110000000000001000001100010000000000010000100000000001101010010100000000010100110100
116,11010100111001000100100010000000011000010000100000010000001100001000000010000000010000101000000100001010010100010010000000000110
117,00000000101100001101000000001010000000010001000101000001010000001110010100000010010000100000000000101000000100110110000010000100
118,00000000011000001000100000000010000000000110000111000000101000001001000000100000110010100110000000001000101001100010001000110001
119,10111000001111001000100100010110010001011000100100001011001000001011100001100010110010101000000110001000010100010001000000011010
120,11111110101000100000000000010000010001010000000110000100001100111010000001000100110000101010000000001000010100100001000010100001
121,10000010101100001000001000010010010000110110100000100011011010000000100010100000110000100010101000101000000101010000001001001101
122,10000000101000000111000000000000010011100000000111100001001100000000101001000000110000000000001000001000000100110100000011000000
123,10000100101001001000000010000100010001010001000101010001001000011010100001100110010000110000000000001000000010000000000000000000
124,00000100001001001010100010001000010000010000000000000010001000000010000100100000010000101000000100001000000100001000000001000110
125,11000100101000000001100000001001000111111000001011000000001000010100000001000100010000101000000001101010000100000000000110100100
126,00000100100010010010000000101000011110010010000100000011001000001100000001000000110000100000000010001000011101001000000000100101
